deviceUid,serialNumber,systemManufacturer,systemModel,username,lastUpdatedDateTimeUtc,platformOSType,deviceName,domain,localIp,cpu,bios,latitude,longitude,antivirus,RAMDisponible,RAM,Disco
4c498db0-3ce3-4fd0-962c-4403474fe6ab,PF4Q3GBK,Lenovo,THINKPAD T16 GEN 2,ARUNTNET\fruiz,2024-06-10T13:43:32.745Z,Windows,LAP-QOR-CRP-03,aruntnet.local,172.16.21.140,13th Gen Intel(R) Core(TM) i7-1355U,LENOVO - 1440 N3QET44W (1.44 ) Lenovo - 1440 ,-12.0979247,-77.0129919,Sophos Intercept X 3.2.0.1560,3110.74609375,16 GB,1 TB
b0142679-a879-4808-850a-66fcb61fe825,4CE336D4QK,Hewlett-Packard,HP PRO SFF 400 G9 DESKTOP PC,ARUNTNET\monica.ulloa,2024-12-20T18:56:29.000Z,Windows,PC-QOR-RENT-03,aruntnet.local,172.16.65.18,12th Gen Intel(R) Core(TM) i7-12700,HPQOEM - 0 U03 Ver. 02.15.20 ,-12.1063959,-77.0222119,Sophos Endpoint Agent 2024.2.4.1.0,2380.8359375,16 GB,512 GB
6a5a0186-d33e-4441-b673-7746a9d6a05b,4CE336D5BV,Hewlett-Packard,HP PRO SFF 400 G9 DESKTOP PC,ARUNTNET\karen.valenzuela,2024-12-20T10:51:50.000Z,Windows,PC-QOR-RENT-02,aruntnet.local,172.16.65.56,12th Gen Intel(R) Core(TM) i7-12700,HPQOEM - 0 U03 Ver. 02.15.20 ,-12.1057324,-77.022247,Sophos Endpoint Agent 2024.2.4.1.0,10529.625,16 GB,512 GB
e0c383a0-570b-49b2-8816-81a898e03b84,4CE336D556,Hewlett-Packard,HP PRO SFF 400 G9 DESKTOP PC,ARUNTNET\rtafur,2024-12-20T19:16:30.392Z,Windows,PC-QOR-RENT-01,aruntnet.local,172.16.64.135,12th Gen Intel(R) Core(TM) i7-12700,HPQOEM - 0 U03 Ver. 02.15.20 ,-12.1057209,-77.0222574,Sophos Endpoint Agent 2024.2.4.1.0,4805.71875,16 GB,512 GB
d3c4995a-de58-45c4-8b0f-763be6806160,5CD401CJP6,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\liliana.quispe,2024-12-20T19:23:45.411Z,Windows,LAP-QOR-RENT-08,aruntnet.local,172.16.70.85,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.105819,-77.0223102,Sophos Endpoint Agent 2024.2.4.1.0,1851.55859375,16 GB,512 GB
6c5286d1-43b8-49ce-8e21-7b213b2685bc,5CD3252W46,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\jesus.chavez,2024-12-20T19:59:15.471Z,Windows,LAP-QOR-RENT-06,aruntnet.local,172.16.70.200,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.1057926,-77.0222972,Sophos Endpoint Agent 2024.2.4.1.0,3731.91015625,16 GB,512 GB
d8cd47cb-8765-4f44-bfdf-8571c95e137c,5CD401CJPR,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\cindy.ferre,2024-12-20T16:34:53.000Z,Windows,LAP-QOR-RENT-09,aruntnet.local,172.16.19.117,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.0979361,-77.0129288,Sophos Endpoint Agent 2024.2.4.1.0,4240.3671875,16 GB,512 GB
dac9494e-bc3e-4985-8355-cf421b29e9b5,MXL41630LL,Hewlett-Packard,HP Z2 TOWER G9 WORKSTATION DESKTOP PC,ARUNTNET\practicante1.ma,2024-12-20T16:32:14.000Z,Windows,PC-QOR-RENT-04,aruntnet.local,172.16.64.60,12th Gen Intel(R) Core(TM) i7-12700,HPQOEM - 0 U50 Ver. 03.03.04 ,-12.1037,-77.0213,Sophos Endpoint Agent 2024.2.4.1.0,13804.26953125,32 GB,1 TB
bb89bcc9-54fb-48c0-bde6-5fc35d51e077,5CD40731HD,Hewlett-Packard,HP ZBOOK POWER 15.6 INCH G10 MOBILE WORKSTATION PC,LAP-QOR-RENT-05\Administrador,2024-12-20T17:51:29.687Z,Windows,LAP-QOR-RENT-05,aruntnet.local,172.16.32.153,13th Gen Intel(R) Core(TM) i7-13700H,HPQOEM - 0 V97 Ver. 01.06.03 ,-14.7733017,-72.3736246,Windows Defender 4.18.24090.11,21478.34375,32 GB,1 TB
50933294-e2cd-4878-a6bf-c3395062369b,5CD3252W0G,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\vjimenez,2024-12-20T15:24:08.486Z,Windows,LAP-QOR-RENT-07,aruntnet.local,172.16.69.218,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.1057836,-77.0223011,Sophos Endpoint Agent 2024.2.4.1.0,9789.1171875,16 GB,512 GB
